index,date,hour,Category,District,count,weather,dayoff
411,2019-01-04,19,2,7,2,-5.9125000000000005,1
412,2019-01-04,19,2,10,1,-5.9125000000000005,1
413,2019-01-04,19,2,16,1,-5.9125000000000005,1
414,2019-01-04,19,4,5,1,-5.9125000000000005,1
415,2019-01-04,19,4,6,2,-5.9125000000000005,1
416,2019-01-04,19,5,0,1,-5.9125000000000005,1
417,2019-01-04,19,5,1,2,-5.9125000000000005,1
418,2019-01-04,20,2,7,2,-5.9125000000000005,1
419,2019-01-04,20,2,8,2,-5.9125000000000005,1
420,2019-01-04,20,4,3,1,-5.9125000000000005,1
421,2019-01-04,20,4,5,2,-5.9125000000000005,1
422,2019-01-04,20,4,6,2,-5.9125000000000005,1
423,2019-01-04,20,4,9,7,-5.9125000000000005,1
424,2019-01-04,20,4,11,1,-5.9125000000000005,1
425,2019-01-04,20,4,14,1,-5.9125000000000005,1
426,2019-01-04,21,2,4,1,-5.9125000000000005,1
427,2019-01-04,21,2,6,2,-5.9125000000000005,1
428,2019-01-04,21,4,4,2,-5.9125000000000005,1
429,2019-01-04,21,4,5,1,-5.9125000000000005,1
430,2019-01-04,21,4,13,1,-5.9125000000000005,1
431,2019-01-04,21,5,2,1,-5.9125000000000005,1
432,2019-01-04,22,2,7,6,-5.9125000000000005,1
433,2019-01-04,22,2,9,2,-5.9125000000000005,1
434,2019-01-04,22,4,5,1,-5.9125000000000005,1
435,2019-01-04,22,4,7,1,-5.9125000000000005,1
436,2019-01-04,22,4,8,2,-5.9125000000000005,1
437,2019-01-04,22,4,11,3,-5.9125000000000005,1
438,2019-01-04,23,1,1,1,-5.9125000000000005,1
439,2019-01-04,23,2,1,1,-5.9125000000000005,1
440,2019-01-04,23,2,7,2,-5.9125000000000005,1
441,2019-01-04,23,4,11,1,-5.9125000000000005,1
442,2019-01-04,23,5,12,1,-5.9125000000000005,1
443,2019-01-05,0,4,1,1,-4.925000000000001,1
444,2019-01-05,0,4,5,3,-4.925000000000001,1
445,2019-01-05,0,5,3,1,-4.925000000000001,1
446,2019-01-05,0,5,5,2,-4.925000000000001,1
447,2019-01-05,1,2,7,1,-4.925000000000001,1
448,2019-01-05,1,5,7,1,-4.925000000000001,1
449,2019-01-05,1,5,12,1,-4.925000000000001,1
450,2019-01-05,2,4,7,2,-4.925000000000001,1
451,2019-01-05,2,5,3,1,-4.925000000000001,1
452,2019-01-05,3,4,7,1,-4.925000000000001,1
453,2019-01-05,3,5,10,1,-4.925000000000001,1
454,2019-01-05,4,5,3,1,-4.925000000000001,1
455,2019-01-05,4,5,14,1,-4.925000000000001,1
456,2019-01-05,5,5,7,1,-4.925000000000001,1
457,2019-01-05,6,4,15,1,-4.925000000000001,1
458,2019-01-05,7,2,1,2,-4.925000000000001,1
459,2019-01-05,7,4,5,1,-4.925000000000001,1
460,2019-01-05,7,4,6,1,-4.925000000000001,1
461,2019-01-05,9,5,7,1,-4.925000000000001,1
462,2019-01-05,10,2,4,2,-4.925000000000001,1
463,2019-01-05,10,2,9,1,-4.925000000000001,1
464,2019-01-05,10,2,11,4,-4.925000000000001,1
465,2019-01-05,10,2,14,2,-4.925000000000001,1
466,2019-01-05,10,5,6,1,-4.925000000000001,1
467,2019-01-05,11,1,0,1,-4.925000000000001,1
468,2019-01-05,11,2,0,1,-4.925000000000001,1
469,2019-01-05,11,2,4,1,-4.925000000000001,1
470,2019-01-05,11,2,6,1,-4.925000000000001,1
471,2019-01-05,11,2,9,1,-4.925000000000001,1
472,2019-01-05,11,2,11,8,-4.925000000000001,1
473,2019-01-05,11,4,11,1,-4.925000000000001,1
474,2019-01-05,11,4,14,1,-4.925000000000001,1
475,2019-01-05,11,5,8,1,-4.925000000000001,1
476,2019-01-05,11,5,11,1,-4.925000000000001,1
477,2019-01-05,12,1,13,1,-4.925000000000001,1
478,2019-01-05,12,2,0,3,-4.925000000000001,1
479,2019-01-05,12,2,9,3,-4.925000000000001,1
480,2019-01-05,12,2,11,1,-4.925000000000001,1
481,2019-01-05,12,4,12,1,-4.925000000000001,1
482,2019-01-05,12,4,16,2,-4.925000000000001,1
483,2019-01-05,12,5,0,1,-4.925000000000001,1
484,2019-01-05,12,5,3,1,-4.925000000000001,1
